Source.Name,Column1,Name,Profile url,Review,Review url,Detailed Review,Stay Date,Rating
Hotel_Elphinstone_Annexe-Mumbai2.csv,0,Pankaj Ghosh,https://www.tripadvisor.in//Profile/bappanyc,Great location and clean room,https://www.tripadvisor.in//ShowUserReviews-g304554-d5279889-r846799459-Hotel_Elphinstone_Annexe-Mumbai_Maharashtra.html,"Recently was on a visit to Mumbai and was looking for a place close to the Chatrapati Shivaji Maharaj Terminus. This hotel is literally at 5 mins walking distance from the Railway station(From Platform 1,2,3,4.. side). The room and the bathroom was tidy and clean. Staff were courteous and helpful. There are 2 restaurants and 1 bar on the ground floor. Close to the Gateway of India (3.5 Km or 10 mins by Taxi) and around 40 mins from the Siddhivinayaka temple. 30 mins to Mahalaxmi temple. 20 Mins walk to the Marine drive.  Just that rooms are way too small for 2 people. Sufficient for one person.",1/7/2022,4
Hotel_Residency_Fort-Mumbai2.csv,0,Denisa C,https://www.tripadvisor.in//Profile/DenTravels25,"Great hotel, amazing staff, must come here in Mumbai",https://www.tripadvisor.in//ShowUserReviews-g304554-d304617-r846950687-Hotel_Residency_Fort-Mumbai_Maharashtra.html,"Best staff I have met, very professional and friendly, always trying to help you with anything you need.  Location close to all major tourist attractions, and in a very nice area (clean & safe) with many restaurants and shops.  Good breakfast, room was comfortable & clean. The front desk manager told us about a day tour, I highly recommend it, because it was very very good. Covered important locations, the tour guide (Ban) was amazing, explained everything very well in great english. The price was also excellent.   All in all, great place, the best hotel I’ve seen in Mumbai at an affordable price. Definitely the greatest staff, 11/10!",1/7/2022,5
Hotel_Residency_Fort-Mumbai2.csv,1,Danyy D,https://www.tripadvisor.in//Profile/DannyD003,Best hotel in Mumbai,https://www.tripadvisor.in//ShowUserReviews-g304554-d304617-r846949995-Hotel_Residency_Fort-Mumbai_Maharashtra.html,The staff was the best! The room was clean all the time. The breakfast was varied. There is a timeless cafe where u can stay and enjoy a good coffee or a tea. The room was big. You have a lot of things to do around the hotel. Many restaurants with great food. I recommend with all my heart!!,1/7/2022,5
Hotel_Residency_Fort-Mumbai2.csv,2,Dominik,https://www.tripadvisor.in//Profile/DominikBarbora,The island of kindness,https://www.tripadvisor.in//ShowUserReviews-g304554-d304617-r846779191-Hotel_Residency_Fort-Mumbai_Maharashtra.html,"Stay in Hotel residency fort was excellent! The staff was so kind to us and did everything to make our stay as nice as possible. When we asked for something, in second, it was solved and prepared for us. Expecially in city like Mumbai, its nice to have some kind of certainty, which this hotel totally provided for us!  Special thanks to: Patil and Gopal",1/7/2022,5
Hotel_Residency_Fort-Mumbai2.csv,3,Medha M,https://www.tripadvisor.in//Profile/Medha_Me,Very pleasant stay and very generous hospitality,https://www.tripadvisor.in//ShowUserReviews-g304554-d304617-r846757085-Hotel_Residency_Fort-Mumbai_Maharashtra.html,"I stayed at this hotel which is right in the fort area near CST, for 7 days.   In midst of the hustle bustle of South Bombay we fortunately found this place which was economic, serene and decent. The decor have me the Mumbai vibes and the street food nearby just added to the Bombay flavour. Yaazdani bakery, in the neighborhood has the best bun maska and mava cakes. Mahish lunch home and a few more restaurants serve quite a few variety of fish.  The staff is very cooperative and guests get quick service delivery.  Overall, a very pleasant experience - decent room and facilities, amicable staff and good quality spread in the breakfast buffet.",1/7/2022,5
Hotel_Residency_Fort-Mumbai2.csv,4,amybK7437JN,https://www.tripadvisor.in//Profile/amybK7437JN,Beautiful Hotel in a Great Location,https://www.tripadvisor.in//ShowUserReviews-g304554-d304617-r846403176-Hotel_Residency_Fort-Mumbai_Maharashtra.html,"Our stay at the Residency was fantastic thanks to Gopel who was professional and went out of his way to make sure we were comfortable and had everything we need.   Clean rooms, good buffet breakfast and a great location - we loved it here!",1/7/2022,5
Hotel_Residency_Fort-Mumbai2.csv,5,Caz,https://www.tripadvisor.in//Profile/CazMcCa,Wonderful stay in a good location,https://www.tripadvisor.in//ShowUserReviews-g304554-d304617-r844663881-Hotel_Residency_Fort-Mumbai_Maharashtra.html,"We arrived very early from an overnight train and right from entering the hotel, we had an excellent experience. We were greeted in a very friendly way by the reception staff and offered snacks and drinks, most appreciated. We were also given a room straight away despite the early hour so were able to get a few hours’ sleep after a hot shower. All the staff were friendly, polite and courteous and spoke good English. Breakfast was varied and delicious and served over a wide range of hours to suit both early and late risers. We were also able to store our luggage after check out. Despite the fact that the rooms would benefit from some maintenance, our Club room had everything we needed - kettle, fridge, good AC and a comfortable bed. I have no hesitation in recommending this hotel. We’ve had 4 fantastic weeks in India and this has been one of the best we’ve stayed in. Also good access to CSMT and Churcghate stations.…",1/6/2022,5
Hotel_Residency_Fort-Mumbai2.csv,6,Monika,https://www.tripadvisor.in//Profile/Monikachandok9876,TripAdvisor,https://www.tripadvisor.in//ShowUserReviews-g304554-d304617-r844280314-Hotel_Residency_Fort-Mumbai_Maharashtra.html,Good staff good hotel roshan sir n petter sir was very nice please visit here yaha se market pass mai hai yaha ka food bhi bahut acha hai sub se acha yaha par ap ko sari facilities milengi yaha se ap ko Mumbai darshan karvane ke liye taxi bhi book karva denge,1/6/2022,5
Hotel_Residency_Fort-Mumbai2.csv,7,Yoram H,https://www.tripadvisor.in//Profile/yoramh884,Excellent service and beautiful room,https://www.tripadvisor.in//ShowUserReviews-g304554-d304617-r843854604-Hotel_Residency_Fort-Mumbai_Maharashtra.html,"Because of our delayed flight, we arrived a day later and got a free upgrade to a larger beautiful room! Breakfast was extensive and tasted well. Also the hotel iswell priced for the location in Mumbai.  Service from all staff was excellent. Concierge Rajesh helped us to get some basic stuff from the stores nearby, like an umbrella and sim-cards.   In short, definitely a good place to stay when visiting Mumbai!",1/6/2022,5
Hotel_Residency_Fort-Mumbai2.csv,8,Bolyki G,https://www.tripadvisor.in//Profile/BOLYKIGY,Come as a guest and go as a friend,https://www.tripadvisor.in//ShowUserReviews-g304554-d304617-r842615365-Hotel_Residency_Fort-Mumbai_Maharashtra.html,"Superb quality hotel, should be rated over 3 stars! The staff is very welcoming and they help you with anything. I have had issues in India, nothing major and the hotel helped me solve out everything. Clean, tidy, organized. 10/10",1/6/2022,5
